acq_datetime,year,month,day,department,latitude,longitude,temperature_c,humidity_pct,wind_kmh,rain_last_7d_mm,ndvi,brightness_k,frp_mw,confidence_pct,fire_risk
2014-01-03T16:12:00,2014,1,3,Escuintla,13.8712,-90.61239,22.79,59.53,11.93,7.15,0.394,333.43,39.06,100.0,1
2014-01-03T02:33:00,2014,1,3,Jutiapa,14.40285,-90.11482,24.16,68.54,11.26,9.55,0.421,334.63,28.98,85.1,0
2014-01-15T03:44:00,2014,1,15,Chiquimula,14.91711,-89.40864,36.57,53.12,8.74,5.39,0.629,346.24,41.6,100.0,1
2014-01-19T03:49:00,2014,1,19,Alta Verapaz,15.64313,-90.21419,23.32,64.52,12.93,4.01,0.549,329.73,41.36,100.0,0
2014-01-22T15:28:00,2014,1,22,Jutiapa,14.31487,-89.82772,26.72,52.36,10.9,4.25,0.769,327.06,45.05,87.39,0
2014-01-20T02:33:00,2014,1,20,Petén,16.93581,-89.75344,31.17,53.82,15.43,5.84,0.499,331.52,27.45,75.71,1
2014-01-04T13:30:00,2014,1,4,Jutiapa,14.33133,-89.72738,30.5,54.29,9.35,14.11,0.472,331.94,22.31,83.43,0
2014-01-22T11:41:00,2014,1,22,Izabal,15.60275,-88.87981,30.66,56.82,11.68,6.19,0.26,326.86,22.36,64.59,0
2014-01-21T23:15:00,2014,1,21,Petén,16.70079,-89.99454,30.95,46.8,8.2,8.15,0.476,340.21,15.74,80.97,0
2014-01-22T00:45:00,2014,1,22,Santa Rosa,14.06929,-90.66151,25.88,60.79,18.41,10.2,0.492,329.1,39.17,100.0,1
2014-01-19T02:10:00,2014,1,19,Izabal,15.78372,-88.91078,25.44,46.88,6.49,6.49,0.632,327.67,11.73,51.23,0
2014-01-16T16:29:00,2014,1,16,Zacapa,15.08439,-89.00082,29.66,46.13,13.07,0.0,0.4,335.05,30.62,90.44,1
2014-01-09T13:18:00,2014,1,9,Escuintla,14.13455,-90.83966,26.05,57.35,12.52,25.91,0.687,328.89,19.45,62.75,0
2014-01-03T11:48:00,2014,1,3,Huehuetenango,15.76826,-91.70535,24.39,69.18,11.37,13.46,0.523,323.53,36.5,85.73,0
2014-01-03T17:50:00,2014,1,3,Alta Verapaz,15.21885,-90.35685,27.53,61.43,12.88,21.75,0.464,339.37,40.65,100.0,0
2014-01-25T00:07:00,2014,1,25,Quiché,14.73062,-91.34204,34.89,55.85,17.85,6.55,0.353,338.48,54.31,100.0,1
2014-01-05T05:16:00,2014,1,5,Escuintla,14.06404,-90.71561,30.58,33.4,8.63,9.56,0.335,332.28,38.1,100.0,0
2014-01-04T23:18:00,2014,1,4,Petén,16.90674,-90.02104,32.01,64.46,11.38,22.04,0.419,333.83,42.45,100.0,0
2014-01-01T23:09:00,2014,1,1,Huehuetenango,15.31991,-91.44294,24.59,54.55,9.64,0.0,0.58,336.29,21.58,74.54,0
2014-01-17T22:52:00,2014,1,17,Chiquimula,14.76421,-89.7656,36.84,51.65,11.62,2.11,0.249,333.2,70.55,100.0,1
2014-01-24T01:28:00,2014,1,24,Jutiapa,14.70412,-89.17373,29.37,78.74,11.02,1.12,0.654,332.58,31.9,90.19,0
2014-01-17T04:10:00,2014,1,17,Izabal,15.5476,-89.0666,25.78,63.66,12.62,19.11,0.586,330.9,33.43,84.96,0
2014-01-18T13:56:00,2014,1,18,Huehuetenango,15.2786,-90.97671,24.95,44.65,13.05,20.72,0.607,323.08,44.08,100.0,0
2014-01-12T15:38:00,2014,1,12,Jutiapa,14.19626,-89.83407,26.83,56.76,12.61,7.73,0.765,317.36,31.74,80.91,0
2014-01-05T10:36:00,2014,1,5,Quiché,14.91818,-91.43918,21.86,68.37,11.75,7.04,0.362,323.59,44.2,100.0,1
2014-01-07T23:50:00,2014,1,7,Escuintla,14.35903,-90.69023,29.76,67.94,12.27,7.33,0.418,339.08,23.45,93.57,0
2014-01-17T17:34:00,2014,1,17,Petén,17.15767,-89.71228,21.71,57.2,9.93,0.0,0.772,330.02,18.95,62.52,0
2014-01-03T12:36:00,2014,1,3,Petén,16.63236,-90.06779,25.39,71.86,2.83,15.48,0.579,322.33,32.1,99.75,0
2014-01-22T02:43:00,2014,1,22,Jutiapa,14.16996,-89.75227,29.47,68.16,15.26,4.86,0.701,336.33,41.89,100.0,0
2014-01-03T23:08:00,2014,1,3,Escuintla,14.06754,-90.83813,32.0,45.3,17.93,8.87,0.411,338.26,45.88,100.0,1
2014-01-23T22:25:00,2014,1,23,Alta Verapaz,15.79237,-90.1858,37.31,55.54,18.42,0.0,0.457,347.12,65.31,100.0,1
2014-01-04T00:18:00,2014,1,4,Petén,16.54772,-90.09853,30.1,61.32,2.76,0.0,0.539,325.15,37.77,100.0,0
2014-01-24T00:14:00,2014,1,24,Petén,17.06723,-89.8427,27.28,60.36,10.43,17.38,0.613,329.39,32.35,97.87,0
